year,month,name,basin,distance_48,distance_24,center_speed_48,center_speed_24,wind_speed_48,wind_speed_24,wind_speed_landfall,category_landfall,hurricane_landfall,damage
2013,11,SONIA,Eastern Pacific,453,492,4,8,30,35,25,0,0,NA
2014,7,ARTHUR,North Atlantic,90,204,13,25,80,70,55,1,0,NA
2014,8,BERTHA,North Atlantic,661,459,16,21,40,45,40,1,0,NA
2014,8,ISELLE,Eastern Pacific,1197,545,14,16,75,75,50,1,0,NA
2014,8,CRISTOBAL,North Atlantic,734,722,26,40,65,60,50,1,0,NA
2014,9,ODILE,Eastern Pacific,320,223,5,11,65,120,105,4,1,NA
2014,10,SIMON,Eastern Pacific,364,138,6,6,45,35,25,0,0,NA
2014,10,HANNA,North Atlantic,90,109,5,4,25,30,22,0,0,NA
2015,5,ANA,North Atlantic,244,152,1,3,40,50,35,1,0,NA
2015,6,BLANCA,Eastern Pacific,495,321,9,7,115,85,40,1,0,NA
2015,6,CARLOS,Eastern Pacific,108,116,5,4,60,72,45,1,0,NA
2015,10,JOAQUIN,North Atlantic,372,160,8,6,35,35,35,1,0,NA
2015,10,OHO,Eastern Pacific,1760,354,29,40,62,57,30,0,0,NA
2015,10,PATRICIA,Eastern Pacific,362,316,16,9,60,150,110,4,1,NA
2016,5,BONNIE,North Atlantic,536,264,13,12,30,37,30,0,0,NA
2016,6,DANIELLE,North Atlantic,122,123,8,4,25,30,30,0,0,NA
2016,7,DARBY,Eastern Pacific,834,351,11,10,55,50,35,1,0,NA
2016,8,EARL,North Atlantic,159,84,16,10,40,55,75,2,1,NA
2016,8,JAVIER,Eastern Pacific,59,261,11,10,30,45,35,1,0,NA
2016,9,HERMINE,North Atlantic,324,404,4,8,35,55,65,2,1,NA
2016,9,NEWTON,Eastern Pacific,356,186,3,15,32,60,73,2,1,NA
2016,10,MATTHEW,North Atlantic,303,307,5,5,130,125,125,5,1,16.5
2016,11,OTTO,North Atlantic,112,243,2,7,60,65,95,3,1,NA
2017,6,CINDY,North Atlantic,388,243,8,9,37,50,43,1,0,NA
2017,8,HARVEY,North Atlantic,234,289,20,20,30,25,25,0,0,125
2017,9,IRMA,North Atlantic,61,33,11,7,142,97,93,3,1,77.2
2017,8,LIDIA,Eastern Pacific,332,124,9,8,30,45,50,1,0,NA
2017,9,KATIA,North Atlantic,258,220,3,3,70,77,65,2,1,NA
2017,9,MARIA,North Atlantic,448,387,7,9,100,140,115,5,1,91.6
2017,10,NATE,North Atlantic,179,190,5,6,20,25,35,1,0,NA
2017,10,OPHELIA,North Atlantic,1162,539,23,38,100,82,62,1,0,NA
2018,5,ALBERTO,North Atlantic,113,200,11,9,35,50,40,1,0,NA
2018,6,BUD,Eastern Pacific,356,264,3,5,77,42,38,1,0,NA
2018,7,BERYL,North Atlantic,639,239,18,21,45,35,30,0,0,NA
2018,8,ERNESTO,North Atlantic,1058,1222,20,34,40,40,35,1,0,NA
2018,9,FLORENCE,North Atlantic,804,220,13,10,115,95,80,2,1,24.2
2018,10,LESLIE,North Atlantic,1794,845,24,35,80,70,40,1,0,NA
2018,10,ROSA,Eastern Pacific,578,180,10,9,70,40,30,0,0,NA
2018,10,SERGIO,Eastern Pacific,1450,819,11,19,55,55,45,1,0,NA
2018,10,MICHAEL,North Atlantic,24,405,9,10,75,100,135,5,1,NA
2018,10,WILLA,Eastern Pacific,291,156,4,4,130,115,81,2,1,NA
2019,7,BARRY,North Atlantic,153,100,4,5,37,52,65,2,1,NA
2019,9,DORIAN,North Atlantic,56,355,11,24,90,85,80,2,1,5.1
2019,9,LORENA,Eastern Pacific,417,217,15,12,35,50,65,2,1,NA
2019,10,LORENZO,North Atlantic,1851,557,36,32,80,60,50,1,0,NA
2019,10,NESTOR,North Atlantic,243,291,7,21,35,50,40,1,0,NA
2019,11,SEBASTIEN,North Atlantic,1605,1222,29,40,55,60,47,1,0,NA
2020,5,AMANDA,Eastern Pacific,382,223,5,2,20,25,35,1,0,NA
2020,7,HANNA,North Atlantic,335,209,9,8,35,50,70,2,1,NA
2020,7,ISAIAS,North Atlantic,685,257,25,16,35,40,60,1,0,5.23
2020,8,LAURA,North Atlantic,921,345,21,18,30,40,45,1,0,10.1
2020,9,NANA,North Atlantic,247,248,15,17,35,50,65,2,1,NA
2020,9,TEDDY,North Atlantic,1301,501,14,15,80,90,55,1,0,NA
2020,9,ALPHA,North Atlantic,836,474,12,21,42,42,35,1,0,NA
2020,9,BETA,North Atlantic,286,156,3,7,50,45,35,1,0,NA
